STATISTIC,Statistic Label,TLIST(M1),Month,C03788V04538,COUNTYNAME,UNIT,WaitingTime
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-1446-13a3-e055-000000000001,Offaly,Weeks,4.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-1447-13a3-e055-000000000001,Roscommon,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-1449-13a3-e055-000000000001,Sligo,Weeks,3.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-144a-13a3-e055-000000000001,Tipperary,Weeks,5.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-144b-13a3-e055-000000000001,Waterford,Weeks,4.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-144e-13a3-e055-000000000001,Wicklow,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-144c-13a3-e055-000000000001,Westmeath,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202203,2022 March,2ae19629-144d-13a3-e055-000000000001,Wexford,Weeks,6.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,IE0,Ireland,Weeks,6.1
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1450-13a3-e055-000000000001,Clare,Weeks,4.7
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1451-13a3-e055-000000000001,Cork,Weeks,7.8
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1448-13a3-e055-000000000001,Cavan,Weeks,4.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-143d-13a3-e055-000000000001,Carlow,Weeks,5.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1452-13a3-e055-000000000001,Donegal,Weeks,5.3
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-144f-13a3-e055-000000000001,Dublin,Weeks,8.1
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1453-13a3-e055-000000000001,Galway,Weeks,6.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1455-13a3-e055-000000000001,Kildare,Weeks,7.0
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1456-13a3-e055-000000000001,Kilkenny,Weeks,5.5
ROA37C01,Estimated Time to Car Test Invite at Month End,202204,2022 April,2ae19629-1454-13a3-e055-000000000001,Kerry,Weeks,6.5
